claim_id,image_file,pdf_file,label
claim_01,claim_01.jpg,claim_01.pdf,fraud
claim_02,claim_02.jpg,claim_02.pdf,non-fraud
claim_03,claim_03.jpg,claim_03.pdf,fraud
claim_04,claim_04.jpg,claim_04.pdf,non-fraud
claim_05,claim_05.jpg,claim_05.pdf,non-fraud
claim_06,claim_06.jpg,claim_06.pdf,fraud
claim_07,claim_07.jpg,claim_07.pdf,non-fraud
claim_08,claim_08.jpg,claim_08.pdf,fraud
claim_09,claim_09.jpg,claim_09.pdf,fraud
claim_10,claim_10.jpg,claim_10.pdf,non-fraud
claim_11,claim_11.jpg,claim_11.pdf,fraud
claim_12,claim_12.jpg,claim_12.pdf,fraud
claim_13,claim_13.jpg,claim_13.pdf,fraud
claim_14,claim_14.jpg,claim_14.pdf,non-fraud
claim_15,claim_15.jpg,claim_15.pdf,non-fraud
claim_16,claim_16.jpg,claim_16.pdf,non-fraud
claim_17,claim_17.jpg,claim_17.pdf,fraud
